Data number,Northing,Easting,Depth (m),Meterage (m),Drilling time (hr),Formation type,Hole size,WOB (1000lb),Flow rate (gpm),MW (pcf),MFVIS,Retort solid (%),Pore pressure (psi),Fracture pressure (psi),Fan 600/Fan 300,Gel10min/Gel10s,Pump pressure (psi),RPM,Mud loss (bbl/hr)
1,1897071,1038001,2338,7,12,1,8.5,24,350,115,44,32,2957.26362,4644.201528,1.810166913,2.898567643,1758.429533,42.82777109,0
2,1897071,1038001,2343,5,11,1,8.5,24,400,115,47,32,3137.215001,4926.804158,1.781178769,2.692849882,1812.319911,61.04657694,0
3,1897071,1038001,2352,9,14,1,8.5,11,400,115,44,32,3279.772918,5150.682643,1.751817815,2.505098057,1857.931601,77.4332557,0
4,1897071,1038001,2383,31,24,1,8.5,12.5,400,115,45,32,3387.184365,5319.365746,1.722194765,2.334585698,1895.908445,92.07685687,0
5,1897071,1038001,2418,35,24,1,8.5,15,400,115,47,32,3461.696334,5436.382233,1.692420333,2.180586337,1926.894285,105.06643,0
6,1897071,1038001,2460,42,22,1,8.5,21,400,115,47,32,3505.555817,5505.260867,1.662605236,2.042373504,1951.532961,116.4910246,0
7,1897071,1038001,2503,43,24,1,8.5,21,400,115,47,32,3521.009806,5529.530412,1.632860186,1.919220731,1970.468316,126.4396901,0
8,1897071,1038001,2567,64,24,1,8.5,22.5,400,115,47,32,3510.305295,5512.719632,1.603295898,1.810401548,1984.344192,135.0014761,0
9,1897139,1036391,2280,116,22,1,17.5,35,920,91,45,23,3475.689276,5458.357293,1.574023087,1.715189488,1993.804429,142.2654321,0
10,1890803,1042438,1584,51,11,1,17.5,42.5,960,66.7,30,8,3419.408741,5369.972157,1.545152468,1.63285808,1999.49287,148.3206077,0
11,1890803,1042438,1725,141,24,1,17.5,27.5,950,72.5,30,11,3343.710682,5251.092988,1.516794754,1.562680857,2002.053356,153.2560523,0
12,1890803,1042438,1837,112,19,1,17.5,22.5,950,75,31,11,3250.842093,5105.248552,1.489060661,1.503931349,2002.129728,157.1608154,0
13,1890803,1042438,1943,106,21,1,17.5,22.5,950,75.5,32,13,3143.049965,4935.967612,1.462060902,1.455883087,2000.365829,160.1239466,0
14,1890803,1042438,2077,134,23,1,17.5,22.5,950,76.5,36,14,3022.581291,4746.778933,1.435906193,1.417809603,1997.4055,162.2344954,0
15,1890803,1042438,2164,87,20,1,17.5,22.5,950,77.5,36,15,2891.683063,4541.211277,1.410707247,1.388984427,1993.892583,163.5815113,0
16,1890803,1042438,2236,72,18.5,1,17.5,22.5,950,78,36,15,2752.602275,4322.793411,1.38657478,1.368681091,1990.470919,164.2540438,0
17,1890803,1042438,2286,50,18,1,17.5,30,950,78,36,15,2607.585918,4095.054097,1.363619506,1.356173126,1987.784349,164.3411424,0
18,1890803,1042438,2335,49,18,1,17.5,30,950,79,37,16,2458.880984,3861.5221,1.341952138,1.350734064,1986.476717,163.9318567,0
19,1890803,1042438,2397,62,23,1,17.5,30,950,80,37,16,2308.734467,3625.726184,1.321683393,1.351637434,1987.191862,163.1152361,0
20,1890803,1042438,2450,53,20,1,17.5,30,950,80,37,16,2175.68662,3416.782683,1.304690413,1.37255188,2042.344817,162.7107217,0
21,1890803,1042438,2461,11,4,1,17.5,30,950,80,37,16,2046.025077,3213.157165,1.285951145,1.405333673,2104.61093,161.5934066,0
22,1890803,1042438,2501,40,14,1,17.5,22.5,950,82,38,18,1924.652135,3022.548387,1.271285027,1.448616613,2142.352242,160.2895753,0
23,1927084,1012494,28,28,5,1,26,6,450,65.5,56,0.3,1815.621402,2851.322295,1.261495188,1.462464059,2169.9406,158.966439,0
24,1927084,1012494,50,22,11,1,26,10,450,67,54,4,1721.469234,2703.462077,1.25221233,1.442747707,2188.168993,158.4244134,0
25,1927084,1012494,123,73,12,1,26,20,800,67.5,56,4,1643.25733,2580.635068,1.247352488,1.420652589,2203.433323,158.7199287,0
26,1927084,1012494,585,122,23,1,26,47.5,950,66,30,3,1587.600542,2493.229488,1.248546,1.385734193,2211.854767,158.9426789,0
27,1927084,1012494,635,50,11,1,26,47.5,950,66.5,32,4,1582.07523,2484.552325,1.250915869,1.403431586,2190.08019,159.5960796,0
28,1927084,1012494,738,103,24,1,26,45,950,67,31,5,1574.272979,2472.299367,1.256737228,1.414974708,2210.402435,162.0522721,0
29,1927084,1012494,836,98,24,1,26,45,950,68,30,5,1530.437885,2403.459035,1.252998425,1.442674582,2281.842887,163.9129789,0
30,1927084,1012494,868,32,10,1,26,45,920,68,30,5,1490.119014,2340.140714,1.24984697,1.477090199,2296.286011,162.2854173,0
31,1927084,1012494,919,51,17,1,26,45,920,68.5,32,6,1460.863841,2294.197257,1.245589061,1.530200569,2296.061776,159.9465399,0
32,1927084,1012494,967,48,20,1,26,40,920,69,33,7,1446.380937,2271.452741,1.234872393,1.547244497,2294.98812,160.7840808,0
33,1927084,1012494,1008,41,20,1,26,40,920,70,34,7,1451.086246,2278.842142,1.227599639,1.551586005,2278.556579,162.5007425,0
34,1927084,1012494,1017,9,3,1,26,40,920,70,33,7,1478.007534,2321.120377,1.223867258,1.57027687,2271.440451,164.1817642,0
35,1927084,1012494,1245,41,7,1,17.5,40,950,70,29,9,1519.421007,2386.157702,1.222807697,1.582571622,2276.119691,165.1871102,0
36,1927084,1012494,1304,59,10,1,17.5,40,880,73,29,9,1583.540604,2486.853605,1.224649524,1.599241471,2282.058212,166.4983665,0
37,1927084,1012494,1380,76,16,1,17.5,40,870,73,30,9,1674.775522,2630.13246,1.231775895,1.610921007,2291.810217,168.1155331,0
38,1927084,1012494,1539,133,24,1,17.5,27.5,950,73,30,9,1792.634774,2815.223201,1.242362733,1.622243437,2306.207306,170.03861,0
39,1927084,1012494,1666,127,24,1,17.5,27.5,950,73.5,31,9,1940.092974,3046.79728,1.256708697,1.607815233,2324.92278,172.2675973,0
40,1927084,1012494,1753,87,17,1,17.5,25,950,74.5,31,10,2232.190828,3505.519084,1.289316039,1.622804201,2418.669439,175.6860707,0
41,1927084,1012494,1828,75,15,1,17.5,25,950,75,32,10,2455.164712,3855.685922,1.3251213,1.617497442,2428.446688,178.973864,0
42,1927084,1012494,1900,72,15,1,17.5,25,950,76,30,11,2532.738837,3977.511337,1.344992996,1.612576077,2360.717256,177.3329373,0
43,1927084,1012494,2002,102,24,1,17.5,25,950,77.25,30,11,2587.626663,4063.709308,1.361402249,1.598981595,2316.609742,174.7623998,0
44,1927084,1012494,2026,24,9,1,17.5,25,950,77.75,30,11,2619.114906,4113.159668,1.371971493,1.581182203,2295.277695,174.3302643,0
45,1891966,1041428,1557,75,21,1,17.5,42.5,900,71,31,11,2655.490682,4170.285597,1.389586436,1.575417215,2293.454113,174.0993466,0
46,1891966,1041428,1563,6,3,1,17.5,42.5,900,75,31,11,2680.966843,4210.29435,1.403124026,1.581194931,2289.457974,174.0867241,0
47,1891966,1041428,1630,67,10,1,17.5,20,900,75,31,11,2697.03112,4235.522313,1.419025231,1.578289632,2280.527176,173.9389664,0
48,1891966,1041428,1810,180,24,1,17.5,20,950,75,31,11,2705.548342,4248.898089,1.43133221,1.572136422,2271.978022,173.2967033,0
49,1891966,1041428,1900,90,15,1,17.5,20,950,75.5,37,13,2704.899174,4247.87861,1.440593515,1.56510659,2266.231066,172.9648055,0
50,1891966,1041428,1970,70,13,1,17.5,20,950,76.5,38,14,2698.251,4237.438059,1.448479836,1.569751034,2258.088803,172.5839026,0
51,1891966,1041428,2043,60,19,1,17.5,45,860,77.5,39,17,2686.079623,4218.323657,1.452318169,1.552126349,2254.397089,172.2579448,0
52,1891966,1041428,2059,16,9.5,1,17.5,45,860,80,36,17,2672.498973,4196.996078,1.450580632,1.545150967,2259.106029,171.980992,0
53,1891966,1041428,2243,112,18,1,17.5,20,930,83,37,21,2651.412185,4163.880567,1.443685175,1.530683474,2271.317196,171.7471042,0
54,1891966,1041428,2314,71,12.5,1,17.5,22.5,920,85.5,38,22,2698.454313,4237.75735,1.456804953,1.53822696,2293.592219,172.025542,0
55,1891966,1041428,2333,19,4,1,17.5,22.5,900,88,38,22,2726.640614,4282.022212,1.464104654,1.526775584,2326.386991,172.0693496,0
56,1891966,1041428,2400,67,19,1,17.5,22.5,900,89,40,23,2739.013617,4301.453255,1.469029481,1.511743662,2368.489753,171.8814969,0
57,1891966,1041428,2436,36,11,1,17.5,22.5,900,90,40,23,2742.309232,4306.628817,1.470653075,1.490913591,2370.301455,172.1599347,0
58,1898058,1036646,153,153,14,1,26,15,680,66,70,0,2744.366829,4309.860148,1.471792317,1.461196568,2372.338877,171.6795367,0
59,1898058,1036646,1499,80,22,1,17.5,38.5,900,69.5,34,8,2741.175402,4304.848206,1.46923589,1.442140164,2394.394119,171.3669439,0
60,1898058,1036646,1518,19,8.5,1,17.5,38.5,900,72,33,8,2731.918322,4290.310529,1.4625972,1.41680546,2411.100386,171.2221562,0
61,1898058,1036646,1575,57,8,1,17.5,20,920,74,32,11,2721.201352,4273.480184,1.457342079,1.394057915,2414.468369,171.2451737,0
62,1898058,1036646,1712,137,22,1,17.5,22.5,940,75.5,34,12,2715.015906,4263.766318,1.448094387,1.369789027,2414.544105,171.4359964,0
63,1898058,1036646,1834,122,23,1,17.5,25,950,76,33,13,2710.493241,4256.66375,1.436602602,1.398180134,2410.772201,171.7946243,0
64,1898058,1036646,1891,57,13,1,17.5,25,950,77,34,13,2679.48755,4207.97121,1.427395539,1.392485935,2434.241164,171.6260766,0
65,1898058,1036646,2000,109,24,1,17.5,30,950,78,34,13,2646.842698,4156.704469,1.411176307,1.388275753,2465.552421,171.451589,0
66,1898058,1036646,2110,110,23,1,17.5,30,950,78.5,35,14,2721.697825,4274.259863,1.404537364,1.391946878,2464.61687,172.6091476,0
67,1898058,1036646,2209,99,23,1,17.5,30,950,78.75,36,15,2772.86949,4354.621831,1.390256291,1.393776087,2465.057915,173.5989011,0
68,1898058,1036646,2288,79,19.5,1,17.5,30,950,79,38,15,2801.698632,4399.896235,1.379097099,1.378245114,2475.804871,174.4327294,0
69,1898058,1036646,2371,83,20,1,17.5,30,950,79,38,15,2809.179463,4411.644422,1.369619787,1.361045475,2479.81289,175.1225126,0
70,1898058,1036646,2380,9,3,1,17.5,15,930,80,37,15,2800.101653,4397.388277,1.364895608,1.357670686,2502.588358,174.7534898,0
71,1898058,1036646,2461,81,22.5,1,17.5,20,900,86.5,41,23,2777.552443,4361.976123,1.363960287,1.344929974,2529.403029,174.0325215,0
72,1894441,1038408,1326,202,22.5,1,17.5,50,940,67.5,30,5,2756.434862,4328.812254,1.364086392,1.329055393,2552.557173,174.1179091,0
73,1894441,1038408,1419,93,19,1,17.5,50,900,68,30,5,2695.725613,4233.472094,1.362610676,1.31148174,2634.195129,176.9683695,0
74,1894441,1038408,1519,100,18,1,17.5,50,950,70,31,7,2644.204688,4152.561635,1.364458102,1.303613825,2704.138699,178.9397089,0
75,1894441,1038408,1646,112,24,1,17.5,47.5,870,72.5,31,10,2641.639651,4148.533401,1.372110021,1.293491022,2756.865162,177.2668548,0
76,1894441,1038408,1662,16,9,1,17.5,47.5,870,75,30,10,2636.067097,4139.782046,1.384607552,1.328899972,2800.708346,175.6712207,0
77,1894441,1038408,1750,88,14,1,17.5,17.5,950,75,32,10,2484.332991,3901.492919,1.375971774,1.307895322,2743.461538,173.0093555,0
78,1894441,1038408,1893,143,23,1,17.5,20,950,75,34,10,2391.210887,3755.250354,1.364518367,1.298346591,2722.628453,169.6896347,0
79,1894441,1038408,2007,114,24,1,17.5,20,950,75,35,10,2283.728204,3586.455378,1.349796101,1.277191706,2705.723196,166.6847342,0
80,1894441,1038408,2097,90,21,1,17.5,20,950,75,35,10,2167.188801,3403.437379,1.338141356,1.263408985,2641.343926,164.2753193,0
81,1894441,1038408,2200,103,24,1,17.5,20,950,76,35,10,2055.957478,3228.755392,1.331997222,1.255879727,2576.602317,162.1079596,0
82,1894441,1038408,2254,54,14,1,17.5,20,900,77,36,12,1951.433803,3064.607358,1.32660611,1.246980926,2547.851203,160.2984853,0
83,1894441,1038408,2295,41,11,1,17.5,20,900,78.5,36,14,1852.597838,2909.391524,1.321328168,1.241969485,2505.558361,158.4125334,0
84,1921175,1013094,244,193,21,1,26,25,1000,67,30,5,1851.998865,2908.450874,1.316455334,1.237619416,2476.810217,159.7163647,0
85,1921175,1013094,361,117,13,1,26,22.5,1000,67,30,5,1840.097448,2889.760427,1.310804012,1.232524918,2392.205227,159.015444,0
86,1921175,1013094,450,89,17,1,26,35,1000,67,30,5,1771.405834,2781.884451,1.302614912,1.212033976,2262.843778,157.1265221,0
87,1921175,1013094,573,123,17,1,26,42.5,1000,67,30,5,1713.877467,2691.539671,1.296873757,1.191797606,2145.868726,155.7989308,0
88,1921175,1013094,688,115,23,1,26,42.5,1000,67,29,5,1670.498352,2623.415425,1.291041486,1.193687329,2047.457677,154.6911197,0
89,1921175,1013094,748,48,22,1,26,22.5,1000,68.25,30,7,1639.741108,2575.113056,1.29006745,1.188906332,1956.138996,153.6382536,0
90,1921175,1013094,777,29,18,1,26,22.5,1000,71,29,10,1630.35411,2560.371351,1.294339871,1.190294926,1917.680428,154.4713395,0
91,1921175,1013094,1566,13,10,1,26,37.5,1000,76,32,14,1560.91125,2451.315589,1.287292373,1.196655211,1882.000297,152.0938521,0
92,1921175,1013094,1595,29,17,1,26,37.5,1000,76,32,14,1496.80262,2350.636909,1.277844885,1.196829875,1843.391743,149.980695,0
93,1921175,1013094,922,145,14,1,17.5,30,935,71.5,29,10,1444.780161,2268.938821,1.263845542,1.178067707,1797.662608,148.1199881,0
94,1921175,1013094,1080,158,24,1,17.5,45,935,73.5,33,11,1406.145162,2208.26492,1.250977288,1.177236342,1762.591328,146.4998515,0
95,1921175,1013094,1133,53,13,1,17.5,45,935,74.5,30,11,1376.96465,2162.438712,1.241461569,1.19466248,1736.716662,146.035046,0
96,1921175,1013094,1154,21,4,1,17.5,13.5,1000,76,31,12,1366.900223,2146.633145,1.234933984,1.199260092,1698.075438,146.018711,0
97,1921175,1013094,1320,166,24,1,17.5,25,1000,76,31,13,1380.607838,2168.160115,1.232030599,1.222065708,1666.519157,146.4508465,0
98,1921175,1013094,1491,171,24,1,17.5,25,1000,76,31,13,1419.428012,2229.124823,1.228089705,1.247196176,1649.88417,147.3314523,0
99,1921175,1013094,1553,62,9,1,17.5,25,1000,76,31,13,1486.298243,2334.140428,1.232138278,1.266411152,1635.834571,148.6605287,0
100,1921175,1013094,1632,37,7,1,17.5,27.5,1000,76,31,14,1585.608325,2490.100834,1.241045775,1.290572362,1636.254826,151.8517969,0
101,1921175,1013094,1712,80,16,1,17.5,27.5,1000,76,32,14,1824.651547,2865.503585,1.269106276,1.314731215,1707.182952,155.4291654,0
102,1901265,1032792,62,62,13.5,1,26,10,600,65,70,3,2051.096519,3221.121555,1.297189129,1.331523517,1748.804574,158.0754381,0
103,1901265,1032792,149,87,15.5,1,26,10,900,65,70,3,2139.857934,3360.515924,1.315087006,1.343498522,1789.232254,159.8054648,0
104,1901265,1032792,1222,101,19,1,17.5,45,900,65.5,33,4,2198.193649,3452.128594,1.331289655,1.352512481,1829.84259,161.3261063,0
105,1901265,1032792,1296,74,17,1,17.5,45,900,66,33,4,2231.9002,3505.06267,1.347572326,1.358334394,1870.23166,162.8660529,0
106,1901265,1032792,1380,84,16,1,17.5,45,900,71,32,7,2249.649615,3532.937039,1.361919558,1.365592516,1922.315117,164.2456192,0
107,1901265,1032792,1466,86,24,1,17.5,45,900,72.5,33,8,2252.565177,3537.515752,1.374578243,1.374138346,1984.114939,165.6905257,0
108,1901265,1032792,1517,51,9,1,17.5,12.5,960,76,33,11,2238.733971,3515.79469,1.380570465,1.378859236,2053.465993,167.1948322,0
109,1901265,1032792,1653,136,24,1,17.5,20,960,77,34,11,2212.809846,3475.082437,1.384737328,1.397129704,2134.882685,168.7525988,0
110,1901265,1032792,1780,127,23,1,17.5,20,960,77,34,11,2221.195041,3488.250873,1.386928104,1.368531404,2163.786754,166.6513217,0
111,1901265,1032792,1844,64,14,1,17.5,25,950,78.5,40,13,2254.084965,3539.902485,1.390382254,1.392347292,2193.517969,166.4924265,0
112,1901265,1032792,1963,119,23,1,17.5,27.5,950,80,41,13,2235.824736,3511.225914,1.385745259,1.416752938,2266.952777,168.4466884,0
113,1901265,1032792,2086,123,23,1,17.5,27.5,925,82,43,16,2213.219003,3475.724994,1.380121826,1.407073557,2319.852985,169.4995545,0
114,1901265,1032792,2147,61,13,1,17.5,27.5,925,85,46,18,2177.587725,3419.768252,1.379485391,1.416577802,2309.383724,166.6914167,0
115,1901265,1032792,2227,80,22,1,17.5,25,900,86,46,21,2115.968628,3322.999232,1.366244321,1.418382197,2340.874666,164.3510544,0
116,1901265,1032792,2306,79,24,1,17.5,25,890,89.5,45,23,2061.002345,3236.678048,1.361340929,1.433517662,2419.100089,163.2411642,0
117,1901265,1032792,2350,44,17,1,17.5,25,900,92,47,23,2047.041222,3214.752958,1.369988096,1.442677764,2430.049005,162.2818533,0.561330561
118,1901265,1032792,2361,11,4,1,17.5,25,900,95,47,23,2036.246217,3197.800063,1.36439313,1.445243752,2450.974161,160.8678349,4.766854767
119,1901861,1028091,203,131,10,1,17.5,22.5,800,67,75,6,2036.217955,3197.75568,1.35832912,1.442992679,2437.105732,159.7460647,9.207009207
120,1901861,1028091,443,240,9,1,17.5,37.5,900,66,35,5,2053.44812,3224.814599,1.349990784,1.440524512,2445.813781,162.9239679,13.84021384
121,1901861,1028091,551,108,8,1,17.5,37.5,900,66,34,5,1993.318018,3130.383954,1.353780875,1.431148495,2353.240273,158.3118503,18.97831898
122,1901861,1028091,755,204,19,1,17.5,30,900,66,34,5,1915.465919,3008.121998,1.345040708,1.41550813,2295.40689,155.7989308,24.12236412
123,1901861,1028091,900,145,21,1,17.5,27.5,900,66,34,5,1887.680761,2964.487107,1.341286384,1.414947836,2294.131274,154.0694981,29.23670924
124,1901861,1028091,982,82,18,1,17.5,32.5,900,66,34,5,1864.37693,2927.889867,1.333919074,1.413893485,2293.645679,152.4166914,34.28571429
125,1901861,1028091,1088,106,13,1,17.5,40,900,67,34,5,1848.480112,2902.924887,1.327331831,1.400088864,2301.342441,150.4870805,39.23373923
126,1901861,1028091,1222,134,21,1,17.5,42.5,900,70,34,8,1860.074029,2921.132424,1.325969769,1.388547339,2308.133353,148.969706,44.3985744
127,1901861,1028091,1275,53,14,1,17.5,42.5,880,73.5,34,11,1868.711045,2934.696329,1.316946237,1.370155949,2266.072171,145.953371,49.28719929
128,1887965,1044892,1417,32,10,1,17.5,37.5,800,72,35,12,1878.933652,2950.750307,1.307495131,1.353191103,2236.109296,145.3213543,53.86991387
129,1887965,1044892,1050,65,10,1,17.5,20,820,71,36,12,1894.291816,2974.869364,1.298656428,1.340487505,2249.80398,144.5054945,58.11701812
130,1887965,1044892,1174,124,22,1,17.5,37.5,820,72,36,12,1960.620019,3079.033747,1.309685744,1.352562217,2258.789724,144.3950104,62.35224235
131,1887965,1044892,1280,106,21,1,17.5,37.5,820,72,35,12,2012.872365,3161.092859,1.309456855,1.354217404,2218.189783,144.4514405,66.08850609
132,1887965,1044892,1500,83,17,1,17.5,37.5,860,73.5,35,12,2067.062936,3246.195835,1.312105257,1.34856167,2231.271161,148.0932581,69.3020493
133,1887965,1044892,2015,1,1,1,17.5,12.5,900,82,35,21,2156.654476,3386.893865,1.323358437,1.355948535,2197.925453,148.3825364,72.32254232
134,1887965,1044892,2222,57,22,1,17.5,16,800,85.5,44,26,2252.687503,3537.707856,1.337531551,1.349155756,2203.742204,151.8651619,74.66884467
135,1887965,1044892,1852,12,5,1,17.5,32.5,820,79,34,19,2441.796234,3834.691545,1.364130233,1.329545487,2152.913573,152.2432432,77.38342738
136,1887965,1044892,2025,10,7,1,17.5,12.5,900,82,37,21,2630.864893,4131.612303,1.395933251,1.319991699,2121.813187,153.006534,79.07632908
137,1887965,1044892,2134,12,4,1,17.5,12.5,800,85,40,22,2802.969551,4401.892135,1.41817013,1.301738823,2144.70003,154.96733,79.74754975
138,1887965,1044892,2165,31,12,1,17.5,12.5,800,85,44,22,2831.306017,4446.392822,1.429379162,1.282651518,2102.566083,155.6367686,79.3970894
139,1887965,1044892,1840,73,16,1,17.5,15,900,79,35,19,2851.9305,4478.78231,1.437426628,1.266052137,2082.321057,156.5562816,78.02494802
140,1887965,1044892,1960,76,19,1,17.5,12.5,900,80,34,20,2826.620111,4439.033893,1.431285714,1.247164826,2061.526582,156.8868429,75.63112563
141,1887965,1044892,2056,31,17,1,17.5,12.5,800,83,40,22,2806.370197,4407.232642,1.427257416,1.229723537,2029.428274,153.7237897,72.21562222
142,1887965,1044892,2100,32,14,1,17.5,12.5,800,85,40,24,2788.75998,4379.576874,1.421289814,1.218618876,1999.653995,153.8817939,67.77843778
143,1887965,1044892,2122,22,11,1,17.5,12.5,800,85,40,22,2770.634309,4351.111617,1.41390256,1.206450585,1925.36531,153.9275319,62.31957232
144,1887965,1044892,1767,119,24,1,17.5,15,900,77,35,19,2753.97106,4324.943004,1.404798712,1.197178669,1869.8515,153.7288387,55.83902584
145,1887965,1044892,1884,32,15,1,17.5,32.5,820,79.5,35,20,2742.533214,4306.980567,1.396830852,1.188545924,1833.363528,153.3302643,48.33679834
146,1887965,1044892,2068,10,6,1,17.5,12.5,800,84.5,44,22,2732.060473,4290.533768,1.388458812,1.172117544,1809.143154,149.5954856,39.81288981
147,1887965,1044892,2262,40,20,1,17.5,17.5,800,86,45,26,2729.418666,4286.384972,1.383809,1.208439866,1799.149094,146.6854767,38.14374814
148,1887965,1044892,1552,52,13,1,17.5,37.5,820,75,34,12,2832.773922,4448.698076,1.397462118,1.219613762,1892.142857,144.9492129,34.17879418
149,1887965,1044892,2014,54,24,1,17.5,12.5,900,81,35,21,2899.429873,4553.377167,1.411177865,1.229610533,1909.100089,140.2524503,30.45144045
150,1887965,1044892,2342,4,3,1,17.5,25,800,90,40,34,2929.669132,4600.866073,1.420445928,1.238453353,1894.098604,134.2569053,27.02108702
151,1887965,1044892,2058,2,3,1,17.5,12.5,800,84,42,22,2937.483193,4613.137579,1.423553425,1.24453257,1919.446094,132.4036234,23.94713395
152,1887965,1044892,2308,46,22,1,17.5,22.5,800,86,45,26,2882.114924,4526.1851,1.42596226,1.254996655,1865.965251,129.0971191,7.858627859
153,1887965,1044892,932,52,5,1,17.5,27.5,850,67,32,8,2899.130808,4552.907505,1.438111706,1.248485588,1771.551827,124.8298188,9.162459162
154,1887965,1044892,985,53,6,1,17.5,27.5,850,70,34,10,2836.377038,4454.356549,1.425415607,1.248398041,1769.190674,119.9316899,9.732699733
155,1887965,1044892,1385,105,24,1,17.5,37.5,810,72,35,12,2772.0478,4353.331419,1.423912868,1.252963564,1765.043065,116.8624889,10.31779032
156,1887965,1044892,1612,60,17,1,17.5,37.5,820,75,35,15,2706.335021,4250.13352,1.425741043,1.261306004,1750.372735,115.6712207,10.95931096
157,1887965,1044892,1648,36,10,1,17.5,37.5,820,75,34,15,2639.643638,4145.398785,1.432074357,1.265629105,1688.400653,110.004455,11.6988417
158,1887965,1044892,2338,30,15,1,17.5,25,800,88,46,34,2550.574301,4005.520842,1.421120693,1.267654761,1677.776953,108.5348975,12.11464211
159,1887965,1044892,2356,14,5,1,17.5,20,870,90,45,34,2466.845522,3874.029919,1.421271709,1.271353582,1671.155331,107.5357885,12.5957826
160,1887965,1044892,2387,31,18,1,17.5,17.5,870,90.5,45,35,2389.46754,3752.512533,1.4211694,1.271226232,1656.398871,109.993466,13.17790318
161,1887965,1044892,2428,41,22,1,17.5,20,865,92,45,34,2315.809937,3636.837776,1.423063308,1.270010181,1651.081081,111.7528958,13.8966439
162,1887965,1044892,2475,47,23,1,17.5,20,860,93.5,45,34,2246.742488,3528.371575,1.42411254,1.273292334,1616.499851,114.042174,14.78764479
163,1887965,1044892,2508,33,19,1,17.5,20,840,94.5,45,32,2159.019996,3390.60877,1.41587033,1.272140408,1608.075438,116.7573508,15.42322542
164,1887965,1044892,2550,42,23,1,17.5,20,860,94.5,45,32,2079.245702,3265.328123,1.413818757,1.277167213,1623.948619,119.4529255,16.18651619
165,1887965,1044892,2580,30,21,1,17.5,20,860,96.5,45,31,2015.697238,3165.52915,1.411247894,1.271811565,1639.388179,122.4942085,17.10721711
166,1933305,1007091,21,21,20,1,26,2.5,400,66,70,6,1972.174706,3097.179678,1.414020895,1.26306617,1632.389367,124.7282447,18.21502822
167,1933305,1007091,56,35,23,1,26,11.5,650,65.75,65,7,1893.111165,2973.015224,1.404065158,1.255680559,1629.132759,127.6314226,19.07632908
168,1933305,1007091,130,74,24,1,26,17.5,700,66.5,65,7,1841.671228,2892.231951,1.405725029,1.24255065,1654.180279,133.2937333,20.06831007
169,1933305,1007091,150,20,9,1,26,17.5,700,66.5,65,7,1820.810952,2859.472164,1.410592726,1.233241265,1632.019602,135.2984853,21.21473121
170,1933305,1007091,1466,12,7,1,17.5,32.5,900,85.5,42,22,1796.175461,2820.783634,1.413090064,1.220694685,1657.396792,140.4945055,22.07603208
171,1933305,1007091,256,106,13,1,17.5,30,950,66.5,35,4,1800.467817,2827.524516,1.417146858,1.205245195,1644.313929,140.7662608,23.02346302
172,1933305,1007091,1042,134,24,1,17.5,15,950,82,37,19,1730.311251,2717.347923,1.414511354,1.199584092,1718.844669,144.4356994,22.68488268
173,1933305,1007091,1125,83,24,1,17.5,17.5,950,83.25,39,20,1646.885755,2586.333287,1.395326533,1.164463025,1795.170775,149.3614494,22.12058212
174,1933305,1007091,1215,90,23,1,17.5,17.5,950,84.25,40,20,1584.331501,2488.09566,1.393644573,1.139530118,1826.544402,151.3617464,21.33056133
175,1933305,1007091,1272,57,23,1,17.5,20,950,85,42,20,1540.192281,2418.777716,1.384839622,1.119413716,1850.773686,153.030888,20.31482031
176,1933305,1007091,1331,59,24,1,17.5,22.5,950,85,42,20,1505.960996,2365.019578,1.374173882,1.132758597,1865.512326,154.3124443,19.07335907
177,1933305,1007091,1347,16,11,1,17.5,22.5,950,85,42,20,1527.18403,2398.349054,1.370334684,1.13801037,1864.241164,154.97327,17.60617761
178,1933305,1007091,1364,17,11,1,17.5,22.5,950,85,42,22,1568.996115,2464.012374,1.366230294,1.145509596,1868.954559,159.3555094,15.91327591
179,1933305,1007091,1412,48,23,1,17.5,32.5,950,85,42,22,1634.003203,2566.102028,1.371563653,1.155592873,1869.93466,160.5657856,13.99465399
180,1933305,1007091,1454,42,23,1,17.5,32.5,950,85,42,22,1724.991362,2708.993363,1.381604415,1.176881463,1930.066825,161.3780814,11.85031185
181,1933305,1007091,1496,30,17,1,17.5,37.5,900,87,42,23,1844.437891,2896.576826,1.390168231,1.192817596,1998.959014,161.7389367,9.48024948
182,1933305,1007091,1534,38,23,1,17.5,37.5,900,88,42,23,1994.063781,3131.55513,1.405540714,1.214113086,2076.314226,161.5948916,6.884466884
183,1933305,1007091,1549,15,11,1,17.5,37.5,900,89,42,23,2174.145742,3414.362828,1.423223851,1.232461822,2174.422334,165.0623701,4.062964063
184,1933305,1007091,1572,23,20,1,17.5,12.5,900,90.5,42,25,2385.969033,3747.018343,1.448000593,1.244220601,2288.038313,168.960499,1.015741016
185,1933305,1007091,1596,24,22,1,17.5,22.5,900,91,41,25,2521.296772,3959.542275,1.466315645,1.277445152,2307.324027,168.8446688,0
186,1933305,1007091,1684,25,22,1,17.5,22.5,900,91,42,25,2625.689263,4123.484293,1.480401977,1.307839951,2315.775171,169.4208494,0
187,1933305,1007091,1714,30,24,1,17.5,32.5,900,91,42,25,2703.482308,4245.653509,1.486481276,1.333230369,2321.450846,169.7089397,0
188,1933305,1007091,1748,34,24,1,17.5,32.5,900,91,41,25,2755.494644,4327.335699,1.492561928,1.360270789,2338.197208,167.0582121,0
